EST_ST,REGION,EEDUC,RECVDVACC,NUMDOSES,BRAND,GETVACRV
35,4,7,1,3,1,-88
35,4,4,1,2,1,-88
35,4,7,1,3,1,-88
35,4,7,1,3,1,-88
35,4,2,1,2,1,-88
35,4,7,1,3,1,-88
35,4,7,1,3,3,-88
4,4,6,1,3,1,-88
35,4,5,1,3,2,-88
35,4,1,1,3,2,-88
35,4,4,1,3,1,-88
36,1,4,1,2,2,-88
36,1,4,1,3,2,-88
36,1,5,1,2,1,-88
36,1,6,1,3,1,-88
37,2,3,1,2,1,-88
37,2,7,1,3,2,-88
37,2,4,1,3,1,-88
37,2,4,1,2,2,-88
37,2,6,1,3,1,-88
37,2,4,2,-88,-88,4
37,2,4,2,-88,-88,4
37,2,6,1,3,1,-88
37,2,3,1,3,2,-88
38,3,4,2,-88,-88,5
38,3,4,1,2,2,-88
38,3,4,1,3,1,-88
38,3,4,1,2,2,-88
38,3,4,1,2,1,-88
38,3,6,1,2,1,-88
38,3,7,1,3,1,-88
38,3,4,1,2,1,-88
38,3,6,1,3,2,-88
39,3,5,1,2,2,-88
39,3,7,-99,-88,-88,-99
39,3,6,1,3,2,-88
39,3,5,2,-88,-88,1
39,3,6,1,3,1,-88
39,3,3,2,-88,-88,3
39,3,7,1,3,1,-88
12,2,3,1,3,2,-88
39,3,6,1,3,1,-88
39,3,6,1,3,2,-88
39,3,7,1,2,1,-88
4,4,7,1,3,2,-88
4,4,5,2,-88,-88,5
4,4,3,1,2,2,-88
4,4,4,1,2,2,-88
4,4,7,1,3,2,-88
4,4,3,1,2,2,-88
4,4,4,1,3,2,-88
4,4,6,1,2,1,-88
4,4,4,1,2,1,-88
4,4,4,1,2,3,-88
4,4,3,2,-88,-88,3
4,4,4,1,2,1,-88
4,4,5,1,2,5,-88
4,4,3,1,3,1,-88
4,4,4,1,2,1,-88
4,4,5,1,2,1,-88
2,4,6,1,1,3,-88
6,4,7,2,-88,-88,5
6,4,6,1,3,2,-88
6,4,7,1,3,1,-88
6,4,4,1,3,1,-88
6,4,7,1,2,1,-88
6,4,4,1,3,2,-88
6,4,6,1,2,1,-88
6,4,7,1,3,2,-88
6,4,4,1,2,1,-88
6,4,4,1,3,1,-88
6,4,4,1,3,2,-88
12,2,6,1,2,1,-88
12,2,7,1,3,2,-88
12,2,7,1,3,1,-88
12,2,4,1,2,1,-88
12,2,4,1,3,2,-88
12,2,4,1,2,2,-88
12,2,7,1,3,2,-88
12,2,6,1,2,1,-88
47,2,6,1,3,2,-88
36,1,6,1,2,2,-88
36,1,6,1,3,1,-88
34,1,4,1,2,2,-88
34,1,7,1,3,2,-88
34,1,3,2,-88,-88,2
34,1,6,1,3,1,-88
45,2,7,1,3,1,-88
24,2,7,1,3,1,-88
36,1,6,1,3,1,-88
36,1,4,1,1,1,-88
36,1,7,1,3,1,-88
36,1,3,1,2,1,-88
25,1,6,1,2,1,-88
34,1,6,1,3,1,-88
42,1,6,1,3,2,-88
42,1,6,1,3,2,-88
42,1,6,1,2,1,-88
42,1,6,1,3,2,-88
42,1,6,1,3,1,-88
10,2,4,1,3,1,-88
24,2,6,1,3,1,-88
24,2,4,1,2,2,-88
34,1,5,2,-88,-88,4
34,1,5,1,3,1,-88
34,1,6,1,3,1,-88
34,1,3,1,2,1,-88
42,1,3,1,3,2,-88
42,1,7,1,3,1,-88
42,1,4,1,2,2,-88
42,1,6,1,3,2,-88
40,2,5,1,2,2,-88
40,2,3,1,2,1,-88
40,2,3,2,-88,-88,1
40,2,4,1,3,2,-88
40,2,4,1,3,2,-88
8,4,6,1,3,2,-88
40,2,3,2,-88,-88,5
40,2,4,1,3,2,-88
40,2,1,1,2,1,-88
40,2,3,1,2,2,-88
40,2,7,1,3,1,-88
40,2,5,2,-88,-88,5
41,4,7,-99,-88,-88,-99
12,2,7,1,3,1,-88
41,4,4,1,3,1,-88
41,4,4,1,3,1,-88
41,4,4,1,1,3,-88
41,4,7,1,3,2,-88
41,4,3,1,3,1,-88
41,4,6,1,3,2,-88
41,4,4,2,-88,-88,3
41,4,3,1,3,6,-88
41,4,7,1,3,1,-88
41,4,4,1,3,2,-88
41,4,5,1,2,-88,-88
41,4,5,1,3,1,-88
41,4,4,1,3,2,-88
41,4,6,1,3,2,-88
41,4,6,1,3,2,-88
41,4,6,1,2,1,-88
41,4,4,1,3,1,-88
41,4,7,1,3,2,-88
41,4,7,1,2,2,-88
41,4,7,1,3,1,-88
41,4,7,1,3,1,-88
41,4,5,1,2,2,-88
42,1,5,1,2,2,-88
42,1,3,1,3,2,-88
42,1,6,1,2,3,-88
42,1,3,1,2,2,-88
18,3,5,1,3,1,-88
42,1,5,1,3,1,-88
42,1,7,1,3,2,-88
42,1,3,1,2,1,-88
44,1,7,1,3,6,-88
44,1,7,1,3,2,-88
44,1,6,1,2,3,-88
25,1,6,1,3,2,-88
44,1,6,1,3,2,-88
44,1,6,1,3,1,-88
44,1,6,1,3,1,-88
44,1,3,1,2,1,-88
45,2,3,1,3,1,-88
45,2,7,1,3,1,-88
45,2,4,1,2,2,-88
45,2,3,2,-88,-88,2
45,2,4,1,2,2,-88
45,2,5,2,-88,-88,4
45,2,4,2,-88,-88,5
45,2,7,1,3,1,-88
45,2,4,2,-88,-88,5
46,3,7,1,3,1,-88
46,3,4,1,2,1,-88
46,3,7,1,3,2,-88
46,3,4,1,1,3,-88
46,3,4,1,2,1,-88
46,3,6,2,-88,-88,2
46,3,7,1,2,1,-88
47,2,7,1,3,2,-88
47,2,7,1,3,2,-88
8,4,6,1,3,2,-88
47,2,3,1,2,2,-88
47,2,6,1,2,2,-88
47,2,7,1,3,1,-88
47,2,3,2,-88,-88,2
47,2,4,1,2,2,-88
47,2,6,1,2,1,-88
47,2,6,1,2,1,-88
47,2,4,1,3,2,-88
47,2,4,1,3,2,-88
47,2,5,1,3,1,-88
47,2,5,1,2,2,-88
48,2,1,2,-88,-88,3
48,2,2,1,3,1,-88
48,2,4,1,2,2,-88
48,2,6,2,-88,-88,5
48,2,4,2,-88,-88,2
48,2,3,1,3,1,-88
48,2,7,1,2,5,-88
48,2,7,2,-88,-88,5
49,4,6,1,3,3,-88
49,4,4,1,2,1,-88
49,4,5,2,-88,-88,2
49,4,6,1,2,2,-88
49,4,6,1,3,2,-88
49,4,6,1,2,2,-88
49,4,4,1,3,1,-88
49,4,4,1,3,1,-88
49,4,4,1,3,1,-88
49,4,6,1,3,2,-88
49,4,7,1,3,2,-88
49,4,4,1,2,1,-88
49,4,4,1,2,1,-88
49,4,6,1,3,2,-88
49,4,6,1,1,3,-88
49,4,4,1,3,2,-88
49,4,4,2,-88,-88,5
49,4,4,1,3,1,-88
49,4,6,2,-88,-88,4
49,4,4,2,-88,-88,4
6,4,6,1,2,1,-88
6,4,5,2,-88,-88,5
6,4,7,1,2,1,-88
6,4,4,1,3,1,-88
6,4,4,1,3,2,-88
6,4,4,1,3,1,-88
6,4,7,1,3,1,-88
6,4,6,1,2,2,-88
6,4,4,1,3,1,-88
6,4,6,1,3,2,-88
6,4,7,1,3,2,-88
6,4,2,1,2,2,-88
6,4,7,1,3,1,-88
6,4,5,1,2,1,-88
53,4,5,1,3,2,-88
53,4,7,1,3,1,-88
53,4,6,1,3,2,-88
53,4,7,1,2,2,-88
53,4,6,1,3,1,-88
53,4,7,2,-88,-88,4
53,4,7,1,3,1,-88
24,2,6,1,3,2,-88
53,4,6,1,3,2,-88
53,4,6,1,3,1,-88
53,4,6,1,2,2,-88
53,4,5,1,3,1,-88
53,4,6,1,3,2,-88
53,4,6,1,3,1,-88
53,4,2,1,3,2,-88
53,4,6,1,3,1,-88
53,4,5,1,2,1,-88
53,4,6,1,2,3,-88
53,4,6,1,2,2,-88
53,4,7,1,3,1,-88
6,4,7,1,3,1,-88
6,4,4,1,5,6,-88
6,4,6,1,1,1,-88
6,4,6,1,3,1,-88
32,4,6,1,3,2,-88
6,4,3,1,2,1,-88
37,2,7,1,2,1,-88
6,4,7,1,3,2,-88
6,4,6,1,2,1,-88
6,4,3,1,2,1,-88
6,4,4,1,3,2,-88
6,4,4,1,3,1,-88
6,4,6,1,2,2,-88
6,4,6,1,2,1,-88
6,4,6,1,3,2,-88
6,4,6,1,3,2,-88
6,4,6,1,2,3,-88
51,2,6,1,2,3,-88
